label,keyword,priority
Window Cleaning,window cleaning,2
Pressure Washing,pressure washing,2
Power Washing,power washing,2
House Washing,house washing,2
Roof Cleaning,roof cleaning,2
Gutter Cleaning,gutter cleaning,2
Driveway Cleaning,driveway cleaning,2
Deck Cleaning,deck cleaning,2
Concrete Cleaning,concrete cleaning,2
Soft Washing,soft washing,2
Commercial Pressure Washing,commercial pressure washing,2
Residential Pressure Washing,residential pressure washing,2
Parking Lot Cleaning,parking lot cleaning,2
Fleet Washing,fleet washing,2
Building Washing,building washing,2
